flat_type,storey_range,num_transactions,avg_price,avg_price_per_sqm
1 ROOM,01 TO 03,21,214042.0,6904.59
1 ROOM,04 TO 06,20,210944.0,6804.66
1 ROOM,07 TO 09,19,221784.0,7154.31
1 ROOM,10 TO 12,24,207928.0,6707.35
2 ROOM,01 TO 03,759,286306.0,6294.38
2 ROOM,04 TO 06,1016,292664.0,6440.31
2 ROOM,07 TO 09,1025,298951.0,6574.36
2 ROOM,10 TO 12,887,309190.0,6807.01
2 ROOM,13 TO 15,556,319147.0,7028.77
2 ROOM,16 TO 18,251,323956.0,6990.87
2 ROOM,19 TO 21,108,323614.0,7025.69
2 ROOM,22 TO 24,63,357548.0,7691.19
2 ROOM,25 TO 27,35,371711.0,8060.79
2 ROOM,28 TO 30,15,371193.0,8179.11
2 ROOM,34 TO 36,1,695000.0,14787.23
3 ROOM,01 TO 03,10941,349138.0,5062.9
3 ROOM,04 TO 06,13988,356920.0,5253.71
3 ROOM,07 TO 09,12181,364878.0,5369.83
3 ROOM,10 TO 12,10301,376133.0,5518.16
3 ROOM,13 TO 15,3557,416096.0,6186.29
3 ROOM,16 TO 18,1590,456072.0,6851.78
3 ROOM,19 TO 21,728,483858.0,7283.28
3 ROOM,22 TO 24,435,535258.0,8072.74
3 ROOM,25 TO 27,300,591380.0,8905.89
3 ROOM,28 TO 30,185,629831.0,9457.94
3 ROOM,31 TO 33,120,645055.0,9680.61
3 ROOM,34 TO 36,108,661706.0,9921.96
3 ROOM,37 TO 39,95,647587.0,9823.28
3 ROOM,40 TO 42,33,670055.0,10291.25
3 ROOM,43 TO 45,5,717778.0,11042.73
3 ROOM,46 TO 48,2,697500.0,10730.77
4 ROOM,01 TO 03,16244,470911.0,4928.36
4 ROOM,04 TO 06,21425,497162.0,5223.28
4 ROOM,07 TO 09,20106,515800.0,5430.75
4 ROOM,10 TO 12,18183,526704.0,5568.62
4 ROOM,13 TO 15,10114,566920.0,6070.43
4 ROOM,16 TO 18,4727,610517.0,6571.2
4 ROOM,19 TO 21,1952,692800.0,7481.6
4 ROOM,22 TO 24,1400,703209.0,7628.68
4 ROOM,25 TO 27,1009,765099.0,8347.9
4 ROOM,28 TO 30,718,862714.0,9430.82
4 ROOM,31 TO 33,424,908778.0,10002.46
4 ROOM,34 TO 36,373,907103.0,10020.83
4 ROOM,37 TO 39,288,929389.0,10251.34
4 ROOM,40 TO 42,141,964344.0,10709.84
4 ROOM,43 TO 45,51,1073927.0,11951.64
4 ROOM,46 TO 48,33,1116972.0,12093.15
4 ROOM,49 TO 51,14,1209416.0,12866.13
5 ROOM,01 TO 03,8610,565118.0,4751.83
5 ROOM,04 TO 06,11669,595220.0,5032.46
5 ROOM,07 TO 09,11330,613746.0,5200.32
5 ROOM,10 TO 12,10213,624778.0,5313.16
5 ROOM,13 TO 15,6729,636436.0,5520.37
5 ROOM,16 TO 18,3376,685276.0,5940.86
5 ROOM,19 TO 21,1577,759764.0,6528.56
5 ROOM,22 TO 24,1190,781964.0,6724.92
5 ROOM,25 TO 27,592,861010.0,7480.58
5 ROOM,28 TO 30,342,953114.0,8452.41
5 ROOM,31 TO 33,146,1095506.0,9743.23
5 ROOM,34 TO 36,136,1108906.0,9878.23
5 ROOM,37 TO 39,121,1125186.0,10005.59
5 ROOM,40 TO 42,70,1212476.0,10904.59
5 ROOM,43 TO 45,15,1334977.0,12462.82
5 ROOM,46 TO 48,14,1284698.0,11998.43
5 ROOM,49 TO 51,5,1283200.0,12220.95
EXECUTIVE,01 TO 03,3727,715518.0,4895.18
EXECUTIVE,04 TO 06,4420,731097.0,5019.96
EXECUTIVE,07 TO 09,3322,744183.0,5126.27
EXECUTIVE,10 TO 12,3170,749170.0,5164.73
EXECUTIVE,13 TO 15,1178,729802.0,5232.33
EXECUTIVE,16 TO 18,403,755737.0,5425.38
EXECUTIVE,19 TO 21,88,872259.0,6115.31
EXECUTIVE,22 TO 24,40,1087417.0,7218.28
EXECUTIVE,25 TO 27,4,800972.0,6408.29
EXECUTIVE,28 TO 30,3,970000.0,7710.87
MULTI-GENERATION,01 TO 03,14,811357.0,5065.24
MULTI-GENERATION,04 TO 06,26,856526.0,5278.13
MULTI-GENERATION,07 TO 09,20,843694.0,5199.63
MULTI-GENERATION,10 TO 12,25,902531.0,5689.84
