month,num_transactions,avg_price
2017-01,1185,427507.0
2017-02,1085,447399.0
2017-03,1903,445030.0
2017-04,1839,438629.0
2017-05,1980,443789.0
2017-06,1747,448502.0
2017-07,1780,438740.0
2017-08,1960,445079.0
2017-09,1680,452716.0
2017-10,1785,443584.0
2017-11,1980,443040.0
2017-12,1585,449860.0
2018-01,1072,446380.0
2018-02,1183,443148.0
2018-03,1881,457070.0
2018-04,1838,448189.0
2018-05,1740,448849.0
2018-06,1975,442732.0
2018-07,2539,444897.0
2018-08,2067,441601.0
2018-09,1985,433734.0
2018-10,1992,430989.0
2018-11,1866,429925.0
2018-12,1423,427751.0
2019-01,1550,429811.0
2019-02,1304,428894.0
2019-03,1653,433257.0
2019-04,1915,431445.0
2019-05,2070,433599.0
2019-06,1884,431989.0
2019-07,2114,434089.0
2019-08,1902,432780.0
2019-09,1830,432455.0
2019-10,2206,430003.0
2019-11,1910,434430.0
2019-12,1848,431584.0
2020-01,1911,430529.0
2020-02,1661,438947.0
2020-03,1937,434558.0
2020-04,424,441209.0
2020-05,363,445866.0
2020-06,2438,432102.0
2020-07,2456,436487.0
2020-08,2426,448182.0
2020-09,2482,460068.0
2020-10,2427,477533.0
2020-11,2322,473353.0
2020-12,2486,481814.0
2021-01,2491,486899.0
2021-02,2160,493358.0
2021-03,2443,492348.0
2021-04,2333,501585.0
2021-05,1957,511869.0
2021-06,2302,511852.0
2021-07,2659,510371.0
2021-08,2739,517684.0
2021-09,2516,520277.0
2021-10,2499,522494.0
2021-11,2566,532255.0
2021-12,2422,531586.0
2022-01,2442,525977.0
2022-02,1895,535427.0
2022-03,2262,536441.0
2022-04,2262,545006.0
2022-05,2154,546082.0
2022-06,2135,557370.0
2022-07,2361,558518.0
2022-08,2309,550441.0
2022-09,2578,565023.0
2022-10,1958,568733.0
2022-11,2130,557973.0
2022-12,2234,549908.0
2023-01,2551,558956.0
2023-02,1837,552036.0
2023-03,2277,566729.0
2023-04,2177,573981.0
2023-05,2245,570256.0
2023-06,1853,574440.0
2023-07,2052,577282.0
2023-08,2467,577723.0
2023-09,1974,575100.0
2023-10,2189,575577.0
2023-11,2128,581315.0
2023-12,2004,578642.0
2024-01,2621,591349.0
2024-02,2123,585636.0
2024-03,2046,596946.0
2024-04,2370,592390.0
2024-05,2490,599862.0
2024-06,2171,620309.0
2024-07,3036,616817.0
2024-08,2591,621334.0
2024-09,2204,629262.0
2024-10,2139,629606.0
2024-11,1929,635610.0
2024-12,2112,638571.0
2025-01,2313,636570.0
2025-02,2091,644774.0
2025-03,1899,645380.0
2025-04,2297,652308.0
2025-05,2266,658121.0
2025-06,2260,653096.0
2025-07,2562,656411.0
2025-08,2203,651048.0
2025-09,2174,672137.0
2025-10,1338,646664.0
2025-11,1658,649485.0
2025-12,2025,660609.0
2026-01,2340,657041.0
2026-02,1665,656629.0
2026-03,2050,662038.0
2026-04,1023,656793.0
